Marca_Modelo,Precio,Km,Transmision,Combustible,URL
Jeep Renegade 2018,"US$15,700",55km,Mecánica,Gasolina,https://neoauto.com/auto/usado/jeep-renegade-2018-1853144
Audi A3 Sedan 2018,"US$19,200","55,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2018-1860907
Volkswagen Amarok 2016,"US$19,500","256,000km",Automática,Diesel,https://neoauto.com/auto/usado/volkswagen-amarok-2016-1857610
Jaguar Xe 2017,"US$17,900","53,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jaguar-xe-2017-1864040
Audi Q5 2017,"US$25,500","46,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-q5-2017-1817724
Bmw 530i 2017,"US$23,900","54,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-530i-2017-1860937
Volvo V40 2017,"US$15,400","51,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volvo-v40-2017-1862360
Mercedes Benz C63 Amg S 2017,"US$59,900","42,300km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c63-amg-s-2017-1860375
Mercedes Benz C-180 2018,"US$19,500","69,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-c-180-2018-1861495
Bmw 120i 2017,"US$14,700","91,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/bmw-120i-2017-1858462
Chevrolet Onix 2023,"US$12,800","27,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/chevrolet-onix-2023-1855532
Bmw I5 2024,"US$79,000","52,000km",Automática - Se...,Eléctrico,https://neoauto.com/auto/usado/bmw-i5-2024-1863594
Bmw X5 2013,"US$17,000","92,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x5-2013-1861754
Honda Pilot 2022,"US$35,000","61,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2022-1847465
Land Rover Range Rover Sport 2019,"US$59,900","47,129km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-sport-2019-1843664
Ford Explorer 2025,"US$57,900","3,200km",Automática,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2025-1861519
Jeep Grand Cherokee Laredo 2016,"US$20,500","78,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2016-1845224
Volkswagen Teramont 2022,"US$36,900","77,313km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-teramont-2022-1859889
Jeep Grand Cherokee Laredo 2018,"US$22,200","79,800km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2018-1845857
Jeep Cherokee Longitude 2019,"US$16,800","48,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-cherokee-longitude-2019-1861670
Mercedes Benz Gle 63 S Amg 2017,"US$59,900","55,724km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gle-63-s-amg-2017-1860382
Maserati Levante 2019,"US$85,900","7,806km",Automática,Gasolina,https://neoauto.com/auto/usado/maserati-levante-2019-1859886
Honda Cr-V 2017,"US$18,000","72,400km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-cr-v-2017-1863957
Ford Expedition 2021,"US$49,900","46,316km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-expedition-2021-1862861
Ford F-150 Raptor 2018,"US$51,000","33,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-f-150-raptor-2018-1845647
Mitsubishi Montero Sport 2024,"US$45,000","33,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2024-1863631
Subaru Impreza 2023,"US$19,000","25,000km",Automática,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-2023-1862066
Bmw X2 20i 2021,"US$33,500","45,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x2-20i-2021-1857231
Bmw X4 20i 2017,"US$24,900","90,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x4-20i-2017-1863223
Mercedes Benz A45 Amg 2022,"US$69,990","11,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a45-amg-2022-1857899
Volkswagen Tiguan Allspace 2018,"US$16,800","78,043km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2018-1863772
Mazda Bt-50 2022,"US$22,500","113,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/mazda-bt-50-2022-1856309
Citroen Ds-3 2018,"US$13,900","38,554km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/citroen-ds-3-2018-1855338
Mercedes Benz Cla 200 Coupe 2022,"US$31,900","56,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-cla-200-coupe-2022-1849443
Jeep Compass 2013,"US$12,200","53,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2013-1848625
Bmw X4 M40i 2019,"US$46,900","49,510km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x4-m40i-2019-1858713
Honda Pilot 2022,"US$36,900","46,857km",Automática,Gasolina,https://neoauto.com/auto/usado/honda-pilot-2022-1859875
Bmw 530i 2018,"US$37,000","20,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-530i-2018-1744146
Maserati Grecale 2024,"US$85,000","9,676km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/maserati-grecale-2024-1860843
Land Rover Range Rover Velar 2018,"US$47,500","56,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-velar-2018-1853722
Bmw M6 2005,"US$20,500","86,815km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-m6-2005-1845072
Nissan X-Trail 2019,"US$20,900","79,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2019-1855541
Volkswagen Tiguan Allspace 2019,"US$19,900","57,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2019-1863322
Bmw 535-I 2012,"US$13,900","99,000km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-535-i-2012-1847566
Ford Ranger Limited 2022,"US$34,900","38,000km",Automática,Diesel,https://neoauto.com/auto/usado/ford-ranger-limited-2022-1858421
Toyota Etios 2022,"US$10,900","67,000km",Mecánica,Gas GNV,https://neoauto.com/auto/usado/toyota-etios-2022-1863439
Nissan X-Trail 2024,"US$26,500","36,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/nissan-x-trail-2024-1827929
Jeep Compass 2025,"US$35,900",26km,Automática,Gasolina,https://neoauto.com/auto/usado/jeep-compass-2025-1859284
Haval All New H6 2022,"US$16,900","57,310km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/haval-all-new-h6-2022-1863031
Bmw 218i Gran Coupe 2020,"US$22,900","49,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-218i-gran-coupe-2020-1864035
Ford Explorer 2018,"US$28,000","66,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2018-1852361
Mercedes Benz Gla 200 2023,"US$40,990","4,500km",Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-gla-200-2023-1860472
Bmw 335i 2012,"US$16,000","110,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-335i-2012-1856810
Bmw 520-I 2018,"US$22,500","68,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-520-i-2018-1862207
Jeep Grand Cherokee Laredo 2018,"US$21,710","63,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-grand-cherokee-laredo-2018-1863092
Toyota Rav4 2016,"US$16,900","168,000km",Automática - Se...,Gas GNV,https://neoauto.com/auto/usado/toyota-rav4-2016-1856242
Ford Explorer 2025,"US$66,900","8,700km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/ford-explorer-2025-1861588
Volkswagen New Beetle 2015,"US$15,250","73,500km",Automática,Gasolina,https://neoauto.com/auto/usado/volkswagen-new-beetle-2015-1840899
Mazda 3 2015,"US$14,900","66,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/mazda-3-2015-1863317
Land Rover Defender 1998,"US$34,000","258,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/land-rover-defender-1998-1858125
Porsche 928 1986,"US$61,500","112,744km",Automática,Gasolina,https://neoauto.com/auto/usado/porsche-928-1986-1861110
Audi A7 2014,"US$22,500","60,200km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/audi-a7-2014-1861960
Suzuki Kizashi 2013,"US$8,950","73,029km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/suzuki-kizashi-2013-1863864
Nissan Qashqai 2018,"US$16,300","63,200km",Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2018-1859393
Citroen C5 Aircross 2023,"US$22,500",800km,Automática - Se...,Gasolina,https://neoauto.com/auto/usado/citroen-c5-aircross-2023-1863600
Mahindra Pik Up 2018,"US$10,500","118,000km",Mecánica,Diesel,https://neoauto.com/auto/usado/mahindra-pik-up-2018-1859998
Ssangyong Actyon 2010,"US$5,990","129,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/ssangyong-actyon-2010-1856376
Nissan Tiida 2013,"US$8,500","66,500km",Mecánica,Gasolina,https://neoauto.com/auto/usado/nissan-tiida-2013-1862777
Subaru Forester 2015,"US$13,999","113,900km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2015-1859314
Nissan Tiida 2011,"US$6,500","270,000km",Mecánica,Gas GLP,https://neoauto.com/auto/usado/nissan-tiida-2011-1857118
Peugeot 2008 2023,"US$16,800","10,700km",Automática - Se...,Dual,https://neoauto.com/auto/usado/peugeot-2008-2023-1863193
Bmw X5 35i 2016,"US$25,000","89,900km",Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x5-35i-2016-1854456
Maserati Ghibli 2019,"US$57,900","10,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/maserati-ghibli-2019-1864042
Kia Sorento 2011,"US$11,200","257,000km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/kia-sorento-2011-1856438
Bmw X4 30i 2023,"US$59,900","11,800km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x4-30i-2023-1849169
Land Rover Range Rover Sport 2023,"US$125,000","3,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/land-rover-range-rover-sport-2023-1863796
Jeep Compass Sport 2022,"US$19,990","39,000km",Automática,Gasolina,https://neoauto.com/auto/usado/jeep-compass-sport-2022-1858683
Subaru Impreza 2017,"US$13,800","64,300km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-2017-1852315
Peugeot 2008 2023,"US$15,990","45,000km",Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-2008-2023-1856360
Bmw X5 M50i 2021,"US$68,500","22,500km",Automática - Se...,Gasolina,https://neoauto.com/auto/usado/bmw-x5-m50i-2021-1860594
Toyota Land Cruiser Prado 2017,"US$39,000","66,933km",Mecánica,Gasolina,https://neoauto.com/auto/usado/toyota-land-cruiser-prado-2017-1863897
Ford F-250 Lariat Super Duty 2025,"US$198,000",50km,Automática - Se...,Diesel,https://neoauto.com/auto/usado/ford-f-250-lariat-super-duty-2025-1861533
Mazda 3 2019,"US$15,500","57,298km",Automática,Gasolina,https://neoauto.com/auto/usado/mazda-3-2019-1856987
